# of Segment,from sec,to sec,from TR (TR=1 is at time21sec of theaudio file),to TR,duration (sec),duration (TRs),Difference in Beliefs ratings (1-5),,,,,Difference in Emotions ratings (1-5),,,,,Difference in Intentions ratings (1-5),,,,
,,,,,,,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY
85,320.1,323.1,214,215,3,2,1,3,3,4,1,2,1,3,4,3,1,2,1,4,1
86,323.1,325.3,216,217,2.2,2,1,3,3,2,1,2,1,3,3,3,1,1,1,2,1
87,325.3,331.2,218,221,5.9,4,1,2,3,2,1,2,1,3,3,3,1,1,1,2,1
88,331.2,333.6,222,222,2.4,1,1,2,3,3,1,4,3,3,4,3,1,2,1,2,1
89,333.6,341.9,223,228,8.3,6,1,3,3,3,1,3,2,3,3,3,1,1,1,2,1
90,341.9,343.8,229,229,1.9,1,1,4,3,3,1,1,2,3,4,3,1,1,1,3,1
91,343.8,346.2,230,231,2.4,2,1,4,3,2,1,3,3,3,3,3,1,1,1,3,1
92,346.2,354.8,232,237,8.6,6,5,3,5,3,1,3,2,5,5,4,5,3,5,5,1
93,354.8,361.5,238,241,6.7,4,5,4,5,3,4,5,3,5,4,4,5,3,5,4,1
94,361.5,365.6,242,244,4.1,3,1,2,2,2,1,4,2,2,2,3,1,2,1,2,1
95,365.6,367.7,245,245,2.1,1,1,2,2,1,1,1,3,2,1,3,1,2,1,1,1
96,367.7,370.4,246,247,2.7,2,1,2,2,1,1,4,3,2,2,3,1,3,1,1,1
97,370.4,371.7,248,248,1.3,1,1,3,4,3,1,4,4,4,5,3,1,3,1,3,1
98,371.7,373.7,249,249,2,1,1,4,4,4,1,4,5,4,5,3,1,5,2,3,1
99,373.7,375.5,250,250,1.8,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1
100,375.5,377.2,251,251,1.7,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1
101,377.2,378.5,252,252,1.3,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1
